Effective date ,Dow Jones Commodity Index Gold TR,,,,,,,,
2013/12/24,389.21,,,,,,,,
2013/12/26,392.13,,,,,,,,
2013/12/27,392.68,,,,,,,,
2013/12/30,389.38,,,,,,,,
2013/12/31,388.9,,,,,,,,
2014/1/2,396.31,,,,,,,,
2014/1/3,400.64,,,,,,,,
2014/1/6,400.45,,,,,,,,
2014/1/7,397.73,,,,,,,,
2014/1/8,396.41,,,,,,,,
2014/1/9,397.66,,,,,,,,
2014/1/10,403.33,,,,,,,,
2014/1/13,404.71,,,,,,,,
2014/1/14,402.85,,,,,,,,
2014/1/15,400.52,,,,,,,,
2014/1/16,401.1,,,,,,,,
2014/1/17,404.88,,,,,,,,
2014/1/21,401.56,,,,,,,,
2014/1/22,400.49,,,,,,,,
2014/1/23,408.18,,,,,,,,
2014/1/24,408.83,,,,,,,,
2014/1/27,408.51,,,,,,,,
2014/1/28,404.31,,,,,,,,
2014/1/29,408.09,,,,,,,,
2014/1/30,401.72,,,,,,,,
2014/1/31,400.85,,,,,,,,
2014/2/3,407.35,,,,,,,,
2014/2/4,404.54,,,,,,,,
2014/2/5,406.38,,,,,,,,
2014/2/6,406.48,,,,,,,,
2014/2/7,408.32,,,,,,,,
2014/2/10,412.14,,,,,,,,
2014/2/11,417.02,,,,,,,,
2014/2/12,418.7,,,,,,,,
2014/2/13,420.35,,,,,,,,
2014/2/14,426.34,,,,,,,,
2014/2/18,428.22,,,,,,,,
2014/2/19,426.92,,,,,,,,
2014/2/20,425.79,,,,,,,,
2014/2/21,427.96,,,,,,,,
2014/2/24,432.62,,,,,,,,
2014/2/25,434.14,,,,,,,,
2014/2/26,429.38,,,,,,,,
2014/2/27,430.61,,,,,,,,
2014/2/28,427.32,,,,,,,,
2014/3/3,436.6,,,,,,,,
2014/3/4,432.59,,,,,,,,
2014/3/5,433.37,,,,,,,,
2014/3/6,437.08,,,,,,,,
2014/3/7,432.69,,,,,,,,
2014/3/10,433.76,,,,,,,,
2014/3/11,435.44,,,,,,,,
2014/3/12,443.11,,,,,,,,
2014/3/13,443.73,,,,,,,,
2014/3/14,445.86,,,,,,,,
2014/3/17,443.89,,,,,,,,
2014/3/18,439.37,,,,,,,,
2014/3/19,433.68,,,,,,,,
2014/3/20,430.19,,,,,,,,
2014/3/21,431.9,,,,,,,,
2014/3/24,423.85,,,,,,,,
2014/3/25,423.95,,,,,,,,
